name,address_1,address_2,city,state,zip,phone,blurb,about,url,donate_url,info_email,size,image
The Nature Conservancy,4245 North Fairfax Drive,Suite 100,Arlington,VA,22203,800-628-6860,"Every acre we protect, every river mile restored, every species brought back from the brink, begins with you.","The mission of The Nature Conservancy is to conserve the lands and waters on which all life depends. Our vision is a world where the diversity of life thrives, and people act to conserve nature for its own sake and its ability to fulfill our needs and enrich our lives.",https://www.nature.org/?intc=support.tnav.logo,https://support.nature.org/site/Donation2?10420.donation=form1&df_id=10420&intc=nature.tnav.button.donate&ben=mag,,Large,https://support.nature.org/tnc_redesign/images/logo-nature-notagline.png
Anti Defamation League,---,---,---,---,---,212-885-7700,We want an ever-more just society. ,"ADL was born at a time when American Jews—both new immigrants and generations-long members of our society—were experiencing deep-seated bigotry. Culture turned a blind eye to what today would be called hate crimes. It was time to become proactive. Reflecting a Jewish tradition and the ADL value of inclusion, we chose a dual mission of securing justice not only for Jews but for all people. It was time to stand up for every American living in jeopardy and fear. Courage nurtured the young organization. Resolve and challenges gave it strength and resiliency.",https://www.adl.org/,https://www.classy.org/give/174715/#!/donation/checkout,https://www.adl.org/contact,Large,http://www.salesforce.org/wp-content/uploads/2018/07/ADL-logo.png
Southern Poverty Law Center,400 Washington Avenue,---,Montgomery,AL,36104,334-956-8200,Dedicated to fighting hate and bigotry and to seeking justice for the most vulnerable members of our society.,"Civil rights lawyers Morris Dees and Joseph Levin Jr. founded the SPLC in 1971 to ensure that the promise of the civil rights movement became a reality for all. Since then, we’ve won numerous landmark legal victories on behalf of the exploited, the powerless and the forgotten. Our lawsuits have toppled institutional racism and stamped out remnants of Jim Crow segregation; destroyed some of the nation’s most violent white supremacist groups; and protected the civil rights of children, women, the disabled, immigrants and migrant workers, the LGBT community, prisoners, and many others who faced discrimination, abuse or exploitation. Our Intelligence Project is internationally known for tracking and exposing the activities of hate groups and other domestic extremists. Our Teaching Tolerance program produces and distributes – free of charge – anti-bias documentary films, books, lesson plans and other materials that reduce prejudice and promote educational equity in our nation’s schools.",https://www.splcenter.org/,https://donate.splcenter.org/sslpage.aspx?pid=463,---,Large,https://2ndvote.com/wp-content/uploads/2017/08/splc-logo.png
Bat Conservation International,1012 14th Street NW,Suite 905,Washington,D.C.,20005,000-000-0000,The mission of Bat Conservation International is to conserve the world’s bats and their ecosystems to ensure a healthy planet.,"BCI is dedicated to the enduring protection of the world’s 1300+ species of bats and their habitats and creating a world in which bats and humans successfully coexist. In pursuit of this vision, during the next five years BCI will work worldwide at scale with local, regional, national and multinational public and private partners to respond rapidly and effectively to bat conservation crises, preventing the extinction of threatened bats and the extirpation of globally significant populations of bats.",https://www.batcon.org/,https://www.batcon.org/index.php?option=com_content&view=article&layout=edit&id=1056,https://www.batcon.org/about-us/about-bci/contact-us-2,Large,http://www.batcon.org/images/logo-big.png
Greenpeace,702 H Street NW,Suite 300,Washington,D.C.,20001,202-462-1177,"Determined to bring about the extraordinary change necessary to realize a greener, more peaceful future. ","Greenpeace is a diverse, multi-cultural movement of ordinary individuals determined to bring about the extraordinary change necessary to realize a greener, more peaceful future. Greenpeace organizers, researchers, volunteers and members work in solidarity to protect the environment and promote ambitious solutions to the critical issues we face as a global community.",https://www.greenpeacefund.org/,https://engage.us.greenpeace.org/onlineactions/Vk878guqbE-eUxLgtZC-Cg2?&utm_source=gnp&utm_medium=adwords&utm_campaign=independent&gclid=CjwKCAjw2MTbBRASEiwAdYIpsfdh2NJOxa-5CtSlNHI8-4KIWUmf4xLFNkon6W5941gefpqmu_QJchoCh6IQAvD_BwE,info@wdc.greenpeace.org,Large,https://engage.us.greenpeace.org/sites/all/themes/greenpeace/images/PMS_376_logo.svg
National Parks Conservation Association,777 6th Street NW,Suite 700,Washington,D.C.,20001,800-628-7275,We're protecting and enhancing America's National Park System for present and future generations.,"From our national headquarters in Washington, D.C., and 27 locations nationwide, we call on our program and policy experts, committed volunteers, staff lobbyists, community organizers and communications specialists to inform and inspire the public and to influence decision makersto ensure that our national parks are well protected. We’ve earned many hard-won victories together — but our national parks face new threats every day. Learn more about the challenges and opportunities facing our national parks, then use your voice to advocate on their behalf.",https://www.npca.org/,https://secure.npca.org/site/Donation2;jsessionid=00000000.app322b?df_id=7600&mfc_pref=T&7600.donation=form1&_ga=2.236444866.237636600.1534183359-894463583.1534183359&NONCE_TOKEN=E715CEA88B73E1336C3A7FEBDF7A1E79,---,Large,https://en.wikipedia.org/wiki/National_Parks_Conservation_Association#/media/File:Npca_logo_350.jpg
Food & Water Watch,1616 P Street NW,---,Washington,D.C.,20036,202-683-2500,Food & Water Watch champions healthy food and clean water for all.,"Our Vision: We are working to create a healthy future for our families and for generations to come—a world where all people have the resources they need, including wholesome food, clean water and sustainable energy. Making this happen requires organizing people from all over the country to build a large movement with the political power to make our democratic process work. Large numbers of people are a countervailing force to corporations “buying” public policy.",https://www.foodandwaterwatch.org/,https://secure.foodandwaterwatch.org/donate/donate-food-water-watch-0,info@fwwatch.org,Large,https://www.foodandwaterwatch.org/sites/all/themes/custom/watchtower_base/build/img/FoodAndWaterWatch.png
The Albert Einstein Institution,P.O. Box 455,---,East Boston,MA,02128,000-000-0000,"The mission of the Albert Einstein Institution is to advance the worldwide study and strategic use of nonviolent action in conflict. The Institution is committed to: · defending democratic freedoms and institutions; · opposing oppression, dictatorship, and genocide; and · reducing the reliance on violence as an instrument of policy.","The Institution is committed to: defending democratic freedoms and institutions; opposing oppression, dictatorship, and genocide; and reducing the reliance on violence as an instrument of policy. This mission is pursued in three ways, by: encouraging research and policy studies on the methods of nonviolent action and their past use in diverse conflicts; sharing the results of this research with the public through publications, conferences, and the media; and consulting with groups in conflict about the strategic potential of nonviolent action.",https://www.aeinstein.org,,,Small,https://www.aeinstein.org/wp-content/uploads/2013/09/cropped-Screen-Shot-2013-09-27-at-15.49.07.png
Code.org,1501 4th Avenue,Suite 900,Seattle,WA,98101,000-000-0000,Code.org® is a nonprofit dedicated to expanding access to computer science in schools and increasing participation by women and underrepresented minorities.,"Our vision is that every student in every school has the opportunity to learn computer science, just like biology, chemistry or algebra. Code.org provides the leading curriculum for K-12 computer science in the largest school districts in the United States and Code.org also organizes the annual Hour of Code campaign which has engaged 10% of all students in the world. Code.org is supported by generous donors including Amazon, Facebook, Google, the Infosys Foundation, Microsoft, and many more.",https://code.org/,,,Large,https://yt3.ggpht.com/a-/ACSszfFs32aJusVYy8zE90qNJJ9RqC-Rq6S92hxL=s900-mo-c-c0xffffffff-rj-k-no
Water for people,100 E. Tennessee Avenue,---,Denver,CO,80209,720-488-4590,"Water For People exists to promote the development of high-quality drinking water and sanitation services, accessible to all, and sustained by strong communities, businesses, and governments.","2.1 billion people around the world don't have access to safe water and 4.5 billion lack access to adequate sanitation. Women and children spend more than four hours walking for water each day, and more than 840,000 people die each year from water-related diseases. Water For People exists to promote the development of high-quality drinking water and sanitation services, accessible to all, and sustained by strong communities, businesses, and governments. We're working to reach Everyone Forever.",https://www.waterforpeople.org/,,,Large,https://thegcindex.com/wp-content/uploads/2017/11/Water-For-People-Everyone-Everywhere.jpg
Best Friends Animal Society,5001 Angel Canyon Road,---,Kanab,UT,84741,435-644-2001,To bring about a time when there are No More Homeless Pets.,"For over 30 years, Best Friends Animal Society has been running the nation’s largest no-kill sanctuary for companion animals and building effective programs that reduce the number of animals entering shelters.",https://bestfriends.org/,https://support.bestfriends.org/site/Donation2?df_id=2460&mfc_pref=T&2460.donation=form1&_ga=2.187409256.1569934575.1529445280-400306738.1529445280,info@bestfriends.org,Large,https://s3.amazonaws.com/petfinder-us-east-1-petimages-prod/organization-photos/38794/38794-1.jpg?bust=2017-11-29+23%3A58%3A20
National Organization for Women,1100 H Street NW,Suite 300,Washington,D.C.,20005,202-628-8669,"NOW’s purpose is to take action through intersectional grassroots activism to promote feminist ideals, lead societal change, eliminate discrimination, and achieve and protect the equal rights of all women.","As the grassroots arm of the women’s movement, the National Organization for Women is dedicated to its multi-issue and multi-strategy approach to women’s rights, and is the largest organization of feminist grassroots activists in the United States. NOW has hundreds of chapters and hundreds of thousands of members and activists in all 50 states and the District of Columbia. Since our founding in 1966, NOW’s purpose is to take action through intersectional grassroots activism to promote feminist ideals, lead societal change, eliminate discrimination, and achieve and protect the equal rights of all women and girls in all aspects of social, political, and economic life.",https://now.org/,https://salsa.wiredforchange.com/o/5996/p/salsa/donation/common/public/?donate_page_KEY=11856,https://now.org/about/contact-us/,Large,https://i2.wp.com/www.cnysolidarity.org/wp-content/uploads/2017/06/NOW-copy.jpg?fit=360%2C354&ssl=1
freeCodeCamp,---,---,---,---,---,000-000-0000,"freeCodeCamp is a non-profit organization that consists of an interactive learning web platform, an online community forum, chat rooms, Medium publications and local organizations that intend to make learning web development accessible to anyone.","freeCodeCamp is a non-profit organization that consists of an interactive learning web platform, an online community forum, chat rooms, Medium publications and local organizations that intend to make learning web development accessible to anyone. Beginning with tutorials that introduce students to HTML, CSS and JavaScript, students progress to project assignments that they must complete either alone or in pairs. Upon completion of all project tasks, students are partnered with other nonprofits to build web applications, giving the students practical development experience.",https://www.freecodecamp.org/,https://donate.freecodecamp.org/,https://donate.freecodecamp.org/,Large,https://i2.wp.com/softwareengineeringdaily.com/wp-content/uploads/2017/01/freecodecamp.jpeg?w=720&ssl=1
Khan Academy,---,---,Mountain View,CA,---,000-000-0000,Khan Academy is a non-profit educational organization created in 2006 by educator Salman Khan with a goal of creating a set of online tools that help educate students. The organization produces short lessons in the form of YouTube videos.,"Khan Academy offers practice exercises, instructional videos, and a personalized learning dashboard that empower learners to study at their own pace in and outside of the classroom. We tackle math, science, computer programming, history, art history, economics, and more.",https://www.khanacademy.org/,https://www.khanacademy.org/donate,,Large,https://wiki.itap.purdue.edu/download/attachments/22414392/khan-academy.png?version=1&modificationDate=1330550567000&api=v2
Wikipedia,---,---,---,---,---,000-000-0000,Free online encyclopedia,"Wikipedia is a multilingual, web-based, free-content encyclopedia project supported by the Wikimedia Foundation and based on a model of openly editable content. The name ""Wikipedia"" is a portmanteau of the words wiki (a technology for creating collaborative websites, from the Hawaiian word wiki, meaning ""quick"") and encyclopedia. Wikipedia's articles provide links designed to guide the user to related pages with additional information.",https://en.wikipedia.org/,https://wikimediafoundation.org/wiki/Ways_to_Give,info-en@wikimedia.org,Small,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Wikipedia-logo-v2-en.svg/135px-Wikipedia-logo-v2-en.svg.png
St. Jude Children's Research Hospital,262 Danny Thomas Place,---,Memphis,TN,38105,800-822-6344,"St. Jude is leading the way the world understands, treats and defeats childhood cancer and other life-threatening diseases.","The mission of St. Jude Children’s Research Hospital is to advance cures, and means of prevention, for pediatric catastrophic diseases through research and treatment. Consistent with the vision of our founder Danny Thomas, no child is denied treatment based on race, religion or a family's ability to pay.",https://www.stjude.org/,https://www.stjude.org/donate/donate-to-st-jude.html,,Large,https://www.wtvq.com/wp-content/uploads/2018/04/st-jude.png
Ronald McDonald House Charities,110 North Carpenter Street,---,Chicago,IL,60607,630-623-7048,"Ronald McDonald House Charities is an American independent nonprofit organization whose stated mission is to create, find, and support programs that directly improve the health and well-being of children.","Our network of local Chapters has been helping millions of families with sick children find comfort and support when they need it most. Our programs, tailored to meet the urgent needs of each community, can now be found in more than 64 countries and regions across the globe.",https://www.rmhc.org/home,http://support.rmhc.org/site/PageServer?pagename=%2Fpw%2FDonation_Landing,info@rmhc.org,Large,https://www.rmhc.org/rmhc_global_logo_white-box.jpg?v=1
The American Civil Liberties Union,"125 Broad Street, 18th Floor, New York NY 10004",18th Floor,New York,NY,10004,212-549-2500,"For almost 100 years, the ACLU has worked to defend and preserve the individual rights and liberties guaranteed by the Constitution and laws of the United States.","The American Civil Liberties Union is a nonprofit organization whose stated mission is ""to defend and preserve the individual rights and liberties guaranteed to every person in this country by the Constitution and laws of the United States.",https://www.aclu.org/,https://action.aclu.org/give/become-aclu-monthly-donor?ms=gol_lightbox&ms_aff=NAT&ms_chan=web&initms=gol_lightbox&initms_aff=NAT&initms_chan=web,aclupreferences@aclu.org,Large,https://www.aclu.org/
The American Red Cross,431 18th Street NW,---,Washington,D.C.,20006,800-733-2767,"We roll up our sleeves and donate time, money and blood. We learn or teach life-saving skills so our communities can be better prepared when the need arises. We do this every day because the Red Cross is needed - every day.","Each day, thousands of people – people just like you – provide compassionate care to those in need. Our network of generous donors, volunteers and employees share a mission of preventing and relieving suffering, here at home and around the world.",http://www.redcross.org/,https://www.redcross.org/donate/donation,,Large,https://en.wikipedia.org/wiki/American_Red_Cross#/media/File:American_Red_Cross_logo.svg
Creative Commons,PO Box 1866,---,Mountain View,CA,94042,415-429-6753,"We’re changing the way people share around the world with our Global Community and 1.4 billion pieces of content under our simple, easy-to-use open licenses.",Creative Commons is an American non-profit organization devoted to expanding the range of creative works available for others to build upon legally and to share.,https://creativecommons.org/,https://creativecommons.org/donate/,info@creativecommons.org,Large,https://en.wikipedia.org/wiki/Creative_Commons_license#/media/File:Cc.logo.circle.svg
Make-A-Wish,4742 N 24th Street,Suite 400,Phoenix,AZ,85016,602-279-9474,"Wishes make life better for kids with critical illnesses. This simple, but powerful belief inspired the founding of Make-A-Wish® and drives everything we do.","Tens of thousands of volunteers, donors and supporters advance the Make-A-Wish® vision to grant the wish of every child diagnosed with a critical illness. In the United States and its territories, on average, a wish is granted every 34 minutes. We believe a wish experience can be a game-changer. This one belief guides us and inspires us to grant wishes that change the lives of the kids we serve.",http://wish.org/,https://secure2.wish.org/site/SPageServer?pagename=donate_now&chid=100-000,,Large,https://nhl.bamcontent.com/images/photos/297132560/1024x576/cut.jpg
Public Broadcasting Service,2100 Crystal Drive,---,Arlington,VA,22202,703-739-5000,"Every day, PBS and 350 member stations fulfill our essential mission to the American public, providing trusted programming that is uniquely different from commercial broadcasting, treating its audience as citizens, not simply consumers. In fact, PBS has been rated as the most trustworthy institution among nationally known organizations for 15 consecutive years.","PBS invites everyone to explore new ideas and broaden personal horizons -- with content that expands the minds of children, programs that ensure the worlds of music, theater, dance and art remain available to all Americans, documentaries that open up new worlds, and non-commercialized news programs that provide citizens with multiple perspectives on world events and cultures.",https://www.pbs.org/,https://www.pbs.org/donate/,,Large,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/PBS_Logo.svg/1200px-PBS_Logo.svg.png
